"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"8/31/2020","Google Play","GOOGLE *GOOGLE PLAY G.CO/HELPPAY#CAP0VEC9MP","3.29","debit","Entertainment","Discover","",""
"8/31/2020","Seven Star Mini Mart","SEVEN STAR MINI MART SEATTLE WA","20.87","debit","Groceries","Discover","",""
"8/31/2020","PayByPhone Parking","SDOT PAYBYPHONE PARKING","0.25","debit","Parking","CREDIT CARD","",""
"8/31/2020","PayByPhone Parking","SDOT PAYBYPHONE PARKING","0.67","debit","Parking","CREDIT CARD","",""
"8/31/2020","PayByPhone Parking","SDOT PAYBYPHONE PARKING","0.08","debit","Parking","CREDIT CARD","",""
"8/30/2020","OUTDOOR EMPORIUM SEATTLE WA","OUTDOOR EMPORIUM SEATTLE WA","13.73","debit","Sporting Goods","Discover","",""
"8/29/2020","Pacific Food Importers, Inc.","PACIFIC FOOD IMPORTERS KENT WA","80.02","debit","Groceries","Discover","",""
"8/29/2020","Chipotle","CHIPOTLE ONLINE 303-595-4000 CA","51.43","debit","Fast Food","Discover","",""
"8/29/2020","Pizza","Pizza","12.00","debit","Restaurants","Venmo","",""
"8/28/2020","ACTBLUE*ColorOfChange","ACTBLUE*ColorOfChange","1000.00","debit","Charity","CREDIT CARD","",""
"8/26/2020","CenturyLink","CENTURYLINK AUTO PAY","67.16","debit","Internet","Interest Checking","",""
"8/25/2020","Moonlight Cafe","MOONLIGHT CAFE SEATTLE WA","21.51","debit","Restaurants","Discover","",""
"8/24/2020","DISCOVER E-PAYMENT","DISCOVER E-PAYMENT","828.62","debit","Credit Card Payment","Interest Checking","",""
"8/24/2020","Vanguard","VANGUARD BUY INVESTMENT","2000.00","debit","Transfer","Interest Checking","",""
"8/23/2020","Shell","SHELL 10050551000 RENTON WA","48.80","debit","Gas & Fuel","Discover","",""
"8/23/2020","Spotify","SPOTIFY P11048C528 8777781161 NY","16.08","debit","Music","Discover","",""
"8/23/2020","Directpay Full Balance","DIRECTPAY FULL BALANCE","828.62","credit","Credit Card Payment","Discover","",""
"8/21/2020","CASHBACK BONUS REDEMPTION payment/STMT CRDT","CASHBACK BONUS REDEMPTION PYMT/STMT CRDT","19.56","credit","Shopping","Discover","",""
"8/21/2020","PAPER MART","PAPER MART","14.31","debit","Clothing","CREDIT CARD","",""
"8/20/2020","Internet transfer to Online Savings account","Internet transfer to Online Savings account XXXXXX4274","12.52","debit","Transfer","Emergency Fund","",""
"8/20/2020","Internet transfer from Interest Checking account","Internet transfer from Interest Checking account XXXXXX4619","1000.00","credit","Interest Income","House Fund","",""
"8/20/2020","Internet transfer from Online Savings account","Internet transfer from Online Savings account XXXXXX5359","12.52","credit","Transfer","House Fund","",""
"8/20/2020","Internet transfer from Online Savings account","Internet transfer from Online Savings account XXXXXX4608","1055.95","credit","Transfer","Interest Checking","",""
"8/20/2020","Internet transfer to Online Savings account","Internet transfer to Online Savings account XXXXXX4274","1000.00","debit","Transfer","Interest Checking","",""
"8/20/2020","FRESH CONSULTING DIRECT DEP~ Future Amount: 3054.14 ~ Tran:","FRESH CONSULTING DIRECT DEP~ Future Amount: 3054.14 ~ Tran:","3054.14","credit","Paycheck","Interest Checking","",""
"8/20/2020","Internet transfer to Interest Checking account","Internet transfer to Interest Checking account XXXXXX4619","1055.95","debit","Transfer","Savings Account","",""
"8/20/2020","Wall Street Journal","D J*WALL-ST-JOURNAL","21.49","debit","Newspapers & Magazines","CREDIT CARD","",""
"8/19/2020","Chef Cafe","CHEF CAFE SEATTLE WA","16.70","debit","Restaurants","Discover","",""
"8/17/2020","*HM","PAYPAL *HM","36.07","debit","Clothing","CREDIT CARD","",""
"8/17/2020","UW PHYSICIANS","UW PHYSICIANS","26.31","debit","Doctor","CREDIT CARD","",""
"8/16/2020","Wall Street Journal","D J*WALL-ST-JOURNAL","42.99","credit","Newspapers & Magazines","CREDIT CARD","",""
"8/16/2020","Wall Street Journal","D J*WALL-ST-JOURNAL","42.99","debit","Newspapers & Magazines","CREDIT CARD","",""
"8/15/2020","QFC","QFC #5849 SEATTLE WA","30.56","debit","Groceries","Discover","",""
"8/15/2020","Interest Paid","Interest Paid","3.39","credit","Interest Income","House Fund","",""
"8/15/2020","Interest Paid","Interest Paid","0.20","credit","Interest Income","Interest Checking","",""
"8/15/2020","Interest Paid","Interest Paid","12.52","credit","Interest Income","Emergency Fund","",""
"8/15/2020","Interest Paid","Interest Paid","1.55","credit","Interest Income","Savings Account","",""
"8/13/2020","CHASE CREDIT CRD AUTOPAY","CHASE CREDIT CRD AUTOPAY","465.08","debit","Credit Card Payment","Interest Checking","",""
"8/12/2020","AUTOMATIC PAYMENT - THANK","AUTOMATIC PAYMENT - THANK","465.08","credit","Credit Card Payment","CREDIT CARD","",""
"8/12/2020","Vanguard","VANGUARD BUY INVESTMENT","1000.00","debit","Transfer","Interest Checking","",""
"8/11/2020","Internet transfer to Online Savings account","Internet transfer to Online Savings account XXXXXX4274","1000.00","debit","Transfer","Interest Checking","",""
"8/11/2020","Internet transfer from Online Savings account","Internet transfer from Online Savings account XXXXXX5359","7.77","credit","Transfer","House Fund","",""
"8/11/2020","Internet transfer from Interest Checking account","Internet transfer from Interest Checking account XXXXXX4619","1000.00","credit","Interest Income","House Fund","",""
"8/11/2020","Internet transfer to Online Savings account","Internet transfer to Online Savings account XXXXXX4274","7.77","debit","Transfer","Emergency Fund","",""
"8/08/2020","Pacific Food Importers, Inc.","PACIFIC FOOD IMPORTERS KENT WA","11.05","debit","Groceries","Discover","",""
"8/08/2020","DERE AUTO 1 SEATTLE WA","DERE AUTO 1 SEATTLE WA","66.06","debit","Service & Parts","Discover","",""
"8/05/2020","FRESH CONSULTING DIRECT DEP~ Future Amount: 3054.12 ~ Tran:","FRESH CONSULTING DIRECT DEP~ Future Amount: 3054.12 ~ Tran:","3054.12","credit","Paycheck","Interest Checking","",""
"8/03/2020","COZY Kusold","COZY Kusold","1400.00","debit","Mortgage & Rent","Interest Checking","",""
"8/02/2020","Dim sum","Dim sum","25.00","debit","Restaurants","Venmo","",""
"8/02/2020","Rats","Rats","25.00","credit","Lawn & Garden","Venmo","",""
"8/02/2020","Urban Feed Garden","URBAN FEED AND GARDEN SEATTLE WA","8.78","credit","Lawn & Garden","Discover","",""
"8/02/2020","QFC","QFC #5849 SEATTLE WA","76.54","debit","Groceries","Discover","",""
"8/02/2020","Urban Feed and Garden LLC","URBAN FEED AND GARDEN SEATTLE WA","51.60","debit","Lawn & Garden","Discover","",""
"8/02/2020","AXOSOFT GITKRAKEN 480-362-1900 AZ","AXOSOFT GITKRAKEN 480-362-1900 AZ","49.00","debit","Electronics & Software","Discover","",""
