"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"1/27/2020","SEATTLE FISH GUYS","SEATTLE FISH GUYS","14.10","debit","Restaurants","Discover","",""
"1/27/2020","Seattle Fish Guys","SEATTLE FISH GUYS","14.10","credit","Credit Card Payment","Discover","",""
"1/29/2020","QFC","QFC #5822 BELLEVUE WA","10.68","debit","Groceries","Discover","",""
"1/28/2020","SUMMIT AT SNOQUALME SNOQUALMIE PAWA","SUMMIT AT SNOQUALME SNOQUALMIE PAWA","56.16","debit","Sports","Discover","",""
"1/27/2020","Seattle Fish Guys LLC","SEATTLE FISH GUYS SEATTLE WA","12.10","debit","Restaurants","Discover","",""
"1/27/2020","Central District","SQ *CHS CENTRAL DISTRI SEATTLE WA00011529215090133","10.91","debit","Alcohol & Bars","Discover","",""
"1/27/2020","Lyft","LYFT *RIDE SUN 2AM 855-865-9553 CA","16.05","debit","Rental Car & Taxi","Discover","",""
"1/27/2020","WIRE MONKEY","PAYPAL *WIRE MONKEY","36.37","debit","Kids Activities","CREDIT CARD","",""
"1/27/2020","Internet transfer to Interest Checking account","Internet transfer to Interest Checking account XXXXXX4619","1500.00","debit","Transfer","Savings Account","",""
"1/27/2020","Internet transfer from Online Savings account","Internet transfer from Online Savings account XXXXXX4608","1500.00","credit","Transfer","Interest Checking","",""
"1/27/2020","Venmo","VENMO PAYMENT","1400.00","debit","Transfer","Interest Checking","",""
"1/26/2020","February","February","1400.00","debit","Mortgage & Rent","Venmo","",""
"1/26/2020","PONY SEATTLE WA","PONY SEATTLE WA","15.00","debit","Alcohol & Bars","Discover","",""
"1/25/2020","Shell","SHELL 57444040703 SEATTLE WA","48.99","debit","Gas & Fuel","Discover","",""
"1/25/2020","SKAGIT GOURMET MUS MOUNT VERNON WA000230584301","SQ *SKAGIT GOURMET MUS MOUNT VERNON WA000230584301","10.00","debit","Groceries","Discover","",""
"1/24/2020","Venmo Cashout","VENMO CASHOUT","56.65","credit","Income","Interest Checking","",""
"1/24/2020","DISCOVER E-PAYMENT","DISCOVER E-PAYMENT","1031.41","debit","Credit Card Payment","Interest Checking","",""
"1/24/2020","Transfer To Ally Bank","Transfer To Ally Bank","56.65","debit","Transfer","Venmo","",""
"1/24/2020","Pizza Pizza","Pizza pizza za za za za ZA!","13.68","debit","Fast Food","Venmo","",""
"1/23/2020","Spotify","SPOTIFY P0E528D76C 8777781161 NY","16.04","debit","Music","Discover","",""
"1/23/2020","Directpay Full Balance","DIRECTPAY FULL BALANCE","1031.41","credit","Credit Card Payment","Discover","",""
"1/23/2020","South Gate Roller Rink","SQ *SOUTHGATE ROLLER R SEATTLE WA00011529215090049","13.80","debit","Sports","Discover","",""
"1/22/2020","CASHBACK BONUS REDEMPTION payment/STMT CRDT","CASHBACK BONUS REDEMPTION PYMT/STMT CRDT","10.01","credit","Bonus","Discover","",""
"1/22/2020","South Gate Roller Rink","SQ *SOUTHGATE ROLLER R SEATTLE WA00011529215090049","10.00","debit","Sports","Discover","",""
"1/22/2020","South Gate Roller Rink","SQ *SOUTHGATE ROLLER R SEATTLE WA00011529215090033","9.00","debit","Sports","Discover","",""
"1/22/2020","South Gate Roller Rink","SQ *SOUTHGATE ROLLER R SEATTLE WA00011529215090033","16.00","debit","Sports","Discover","",""
"1/22/2020","Internet transfer to Interest Checking account","Internet transfer to Interest Checking account XXXXXX4619","1500.00","debit","Transfer","Savings Account","",""
"1/22/2020","Internet transfer from Online Savings account","Internet transfer from Online Savings account XXXXXX4608","1500.00","credit","Transfer","Interest Checking","",""
"1/21/2020","Check Paid #1025","Check Paid #1025","540.00","debit","Check","Interest Checking","",""
"1/20/2020","Michelle Kusold Paid Sabel Roizen","Michelle Kusold Paid Sabel Roizen","20.00","debit","Restaurants","Venmo","",""
"1/20/2020","Lowe's","LOWE'S OF RAINIER, WA. SEATTLE WA","13.63","debit","Home Improvement","Discover","",""
"1/20/2020","Lowe's","LOWE'S OF RAINIER, WA. SEATTLE WA","14.18","credit","Home Improvement","Discover","",""
"1/19/2020","Highland","HIGHLAND ICE ARENA. SHORELINE WA","11.50","debit","Restaurants","Discover","",""
"1/19/2020","Lyft","LYFT *RIDE SAT 12AM 855-865-9553 CA","6.70","debit","Rental Car & Taxi","Discover","",""
"1/18/2020","Seattle Fish Guys LLC","SEATTLE FISH GUYS SEATTLE WA","12.20","debit","Restaurants","Discover","",""
"1/18/2020","Lyft","LYFT *RIDE FRI 7PM 855-865-9553 CA","7.74","debit","Rental Car & Taxi","Discover","",""
"1/18/2020","Pay g.co/helppay# CA US","GOOGLE *Pay g.co/helppay# CA US","88.60","debit","Electronics & Software","Interest Checking","",""
"1/16/2020","SUMMIT AT SNOQUALME SNOQUALMIE PAWA","SUMMIT AT SNOQUALME SNOQUALMIE PAWA","56.16","debit","Sports","Discover","",""
"1/15/2020","QFC","QFC #5822 BELLEVUE WA","7.69","debit","Groceries","Discover","",""
"1/15/2020","Internet transfer from Online Savings account","Internet transfer from Online Savings account XXXXXX4608","800.00","credit","Transfer","Interest Checking","",""
"1/15/2020","Interest Paid","Interest Paid","0.38","credit","Interest Income","Interest Checking","",""
"1/15/2020","Interest Paid","Interest Paid","13.57","credit","Interest Income","Savings Account","",""
"1/15/2020","Internet transfer to Interest Checking account","Internet transfer to Interest Checking account XXXXXX4619","800.00","debit","Transfer","Savings Account","",""
"1/14/2020","Lowe's","LOWE'S OF RAINIER, WA. SEATTLE WA","44.02","credit","Home Improvement","Discover","",""
"1/14/2020","Lowe's","LOWE'S OF RAINIER, WA. SEATTLE WA","22.00","debit","Home Improvement","Discover","",""
"1/14/2020","Lowe's","LOWE'S OF RAINIER, WA. SEATTLE WA","58.20","debit","Home Improvement","Discover","",""
"1/14/2020","QFC","QFC #5822 BELLEVUE WA","16.57","debit","Groceries","Discover","",""
"1/14/2020","Check Paid #1024","Check Paid #1024","295.41","debit","Air Travel","Interest Checking","",""
"1/13/2020","Shell","SHELL 57444040703 SEATTLE WA","52.02","debit","Gas & Fuel","Discover","",""
"1/13/2020","DOMAINS G.CO/HELPPAY#CAP0RODTGN","GOOGLE *DOMAINS G.CO/HELPPAY#CAP0RODTGN","12.00","debit","Internet","Discover","",""
"1/13/2020","Prime Video*0L3RJ30U3","Prime Video*0L3RJ30U3","12.10","debit","Movies & DVDs","CREDIT CARD","",""
"1/13/2020","CHASE CREDIT CRD AUTOPAY","CHASE CREDIT CRD AUTOPAY","699.71","debit","Bills & Utilities","Interest Checking","",""
"1/12/2020","Central Coop","CENTRAL COOP - NCG SEATTLE WA","26.65","debit","Groceries","Discover","",""
"1/12/2020","Lyft","LYFT *RIDE SAT 7PM 855-865-9553 CA","13.99","debit","Rental Car & Taxi","Discover","",""
"1/12/2020","PayByPhone Parking","SDOT PAYBYPHONE PARKING","1.96","debit","Parking","CREDIT CARD","",""
"1/12/2020","AUTOMATIC PAYMENT - THANK","AUTOMATIC PAYMENT - THANK","699.71","credit","Credit Card Payment","CREDIT CARD","",""
"1/11/2020","TST* THE NEIGHBOR LADY SEATTLE WA","TST* THE NEIGHBOR LADY SEATTLE WA","13.00","debit","Alcohol & Bars","Discover","",""
